n,rank,run,in_domain_accuracy,out_of_domain_accuracy
2,4,0,0.5740072202166066,0.5011
2,4,1,0.555956678700361,0.5194
2,4,2,0.555956678700361,0.5194
32,4,0,0.5451263537906137,0.5193333333333333
32,4,1,0.5451263537906137,0.5193333333333333
32,4,2,0.5451263537906137,0.5193333333333333
128,4,0,0.555956678700361,0.5195
128,4,1,0.555956678700361,0.5195
128,4,2,0.555956678700361,0.5195
