n,rank,run,in_domain_accuracy,out_of_domain_accuracy
2,4,0,0.6642599277978339,0.5471333333333334
2,4,1,0.628158844765343,0.5000666666666667
2,4,2,0.628158844765343,0.5000666666666667
32,4,0,0.628158844765343,0.5000666666666667
32,4,1,0.628158844765343,0.5000666666666667
32,4,2,0.628158844765343,0.5000666666666667
128,4,0,0.628158844765343,0.5000666666666667
128,4,1,0.628158844765343,0.5000666666666667
128,4,2,0.628158844765343,0.5000666666666667
